NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
423	by heart	by heart			Abstract relations	71	BY HEART
424	byte	byte			N/a		
425	capricorn beetle	&lt;capricorn beetle&gt;			Animals		
426	clothes	&lt;clothes&gt;			Artifacts	1895	CLOTHES
427	cold steel	&lt;cold steel&gt;			Artifacts		
428	colour	&lt;colour&gt;			N/a	1613	COLOR
429	container	&lt;container&gt;			N/a	1465	BOX
430	crockery	&lt;crockery&gt;			Artifacts		
431	curse	&lt;curse&gt;			N/a	8	CURSE
432	cabbage	cabbage			N/a	774	CABBAGE
433	caecum (blind gut)	caecum (blind gut)	a cavity open at one end (such as the blind end of a duct), especially a blind pouch connected to the large intestine between the ileum and the colon		N/a		
434	cage	cage	enclosure made of bars, normally to hold animals		N/a	3283	CAGE
435	calendar	calendar	system of organizing days. This is done by giving names to periods of time, typically days, weeks, months and years.		N/a	1967	CALENDAR
436	calf (young cow or bull)	calf (young cow or bull)	young cow or bull		N/a	1989	CALF
437	calf of a leg	calf of a leg			N/a	498	CALF OF LEG
438	callus, corn	callus, corn			N/a		
439	calm	calm			Non-physical	258	CALM
440	camel	camel			Animals	1871	CAMEL
441	camomile	camomile			N/a		
442	camp	camp			Artifacts	1105	CAMP
443	campfire, bonfire	campfire, bonfire	fire lit outdoors		N/a	2986	CAMPFIRE
444	can, to be able	can, to be able			Modal	972	BE ABLE
445	Cancer (constellation)	Cancer (constellation)	constellation of the zodiac supposedly shaped like a crab		N/a		
446	cancer (disease)	cancer (disease)	disease in which the cells of a tissue undergo uncontrolled (and often rapid) proliferation		Mental acts and states		
447	candle	candle			N/a	1273	CANDLE
448	cannabis	cannabis			N/a		
449	cannon (weapon)	cannon (weapon)			Artifacts	3202	CANNON
450	cap peak	cap peak			Artifacts		
451	cape	cape			Natural objects	1662	CAPE
452	Capricorn	Capricorn	constellation of the zodiac supposedly shaped like a goat		N/a		
453	capsule (pharmacy)	capsule (pharmacy)	small container containing a dose of medicine		N/a	395	PILL
454	captive	captive			Human being	1073	CAPTIVE
455	capybara	capybara	semi-aquatic South American rodent, Hydrochoerus hydrochaeris, the largest living rodent		N/a	314	CAPYBARA
456	carabus (Carabus)	carabus (Carabus)			Animals		
457	caraway (meridian fennel)	caraway (meridian fennel)	plant Carum carvi		N/a		
458	carriage	carriage			N/a	2620	CARRIAGE
459	carrion	carrion	dead flesh, carcasses		Physical effect	1770	CARCASS
460	carrot	carrot	plant,  Daucus carota, with edible roots		N/a	3085	CARROT
461	cartilage	cartilage			Body parts		
462	case (grammar)	case (grammar)			Abstract entities		
463	case, event	case, event			Abstract entities		
464	cast iron	cast iron	hard and brittle, but strong, alloy of iron, carbon, and silicon, formed by casting in a mould		N/a		
465	caste	caste			N/a		
466	castor bean (Ricinus communis)	castor bean (Ricinus communis)			Plants		
467	cat	cat			Animals	1208	CAT
468	cat's-foot (Antennaria)	cat&#39;s-foot (Antennaria)			N/a		
469	catamaran	catamaran	twin-hulled ship or boat		Evaluation		
470	catapult	catapult	a ballistic device used to launch a projectile a great distance without the aid of gunpowder or other propellants – particularly various types of ancient and medieval siege engines		N/a		
471	cataract (of the eye)	cataract (of the eye)	clouding of the lens in the eye leading to a decrease in vision		N/a		
472	caterpillar	caterpillar			Animals	2247	CATERPILLAR
473	caterpillar track	caterpillar track			N/a		
474	catkin	catkin			Plants		
475	catnip (Nepeta cataria)	catnip (Nepeta cataria)			Plants		
476	cattle	cattle			Animals	1153	CATTLE
477	caul, amniotic sac	caul, amniotic sac			Body parts		
478	cauldron	cauldron			Artifacts		
479	cause, reason	cause, reason	None		Abstract entities	860	CAUSE
480	cautious	cautious			N/a	2758	CAREFUL
481	cave	cave			Natural objects	1155	CAVE
482	cavity, hollow	cavity, hollow			Natural objects		
483	ceiling	ceiling			Artifacts		
484	celebrity	celebrity			Human being		
485	celery	celery	herb (Apium graveolens)		Artifacts	3727	CELERY
486	cell (in biology)	cell (in biology)	basic unit of a living organism, consisting of a quantity of protoplasm surrounded by a cell membrane		N/a		
487	cell (of a political party, organization)	cell (of a political party, organization)			Artifacts		
488	cell (of honeycomb)	cell (of honeycomb)	small hexagonal compartment in a honeycomb		N/a		
489	cellar	cellar			N/a		
490	cemetery	cemetery	place where the dead are buried; a graveyard		N/a	3284	GRAVEYARD
491	censer	censer	a vessel for smoking incense during worship		N/a		
492	centre	centre			Space	491	CENTER
493	centrifuge	centrifuge	device in which a mixture of denser and lighter materials (normally dispersed in a liquid) is separated by being spun about a central axis at high speed		N/a		
494	century	century			Time		
495	cereal	cereal	type of grass (such as wheat, rice or oats) cultivated for its edible grains		Plants		
496	chaff	chaff			Artifacts	2363	CHAFF (HUSK)
497	chaffinch	chaffinch	bird  Fringilla coelebs		N/a		
498	chain (n.)	chain (n.)			Artifacts	1627	CHAIN
499	chalk	chalk			N/a		
500	chameleon	chameleon			Animals	1555	CHAMELEON
501	champignon (Agaricus)	champignon (Agaricus)			N/a		
502	champion, winner	champion, winner	A person who won a competition		N/a		
503	channel, opening in a reef	channel, opening in a reef			N/a	2423	CHANNEL
504	chanterelle	chanterelle			Plants		
505	chapter (of a book)	chapter (of a book)			Abstract entities	835	CHAPTER
506	charger, cartridge clip	charger, cartridge clip			Artifacts		
507	charr (Salvelinus)	charr (Salvelinus)			N/a		
508	chatter, idle talk	chatter, idle talk			Abstract entities		
509	cheap	cheap			Non-physical	1887	CHEAP
510	cheek	cheek			Body parts	1730	CHEEK
511	cheek-bone	cheek-bone			Body parts		
512	cheerful	cheerful			Non-physical		
513	cheerful mood	cheerful mood			Abstract entities		
514	cheese	cheese	diary food		N/a	1569	CHEESE
515	chervil (Anthriscus cerefolium)	chervil (Anthriscus cerefolium)			N/a		
516	chest (body part)	chest (body part)			Body parts	1592	CHEST
517	chestnut	chestnut			N/a	2318	CHESTNUT
518	chickenpox	chickenpox	varicella, is a highly contagious disease caused by the initial infection with varicella zoster virus. The disease results in a characteristic skin rash that forms small, itchy blisters, which eventually scab over		N/a		
519	child	child	child (son or daughter) / child (young person)		Human being	2099	CHILD
520	child (son or daughter)	child (son or daughter)			Human being	1801	CHILD (DESCENDANT)
521	child (young person)	child (young person)	None		N/a	1304	CHILD (YOUNG HUMAN)
522	child before baptism	child before baptism			Human being		
523	childbirth	childbirth	action of giving birth to a child, as the culmination of pregnancy		N/a	2805	BIRTH (ACCOUCHEMENT)
524	childless	childless			N/a		
525	children	children			N/a	2099	CHILD
526	children's food	children&#39;s food	special food for children or babies		N/a		
527	chili pepper	chili pepper	plant from the genus Capsicum, cultivated for their pungency		N/a	919	CHILI PEPPER
528	chin	chin			Body parts	1510	CHIN
529	China	China	nation or civilization occupying the country around the Yellow, Yangtze, and Pearl Rivers in East Asia, taken as a whole under its various dynasties		N/a		
530	Chionactis occipitalis	Chionactis occipitalis			N/a		
531	chip	chip			Natural objects		
532	chisel	chisel			N/a	1979	CHISEL
533	cholera	cholera			N/a		
534	chopped billet	chopped billet			Artifacts		
535	chord (geometry)	chord (geometry)	straight line between two points of a curve		N/a		
536	chord (music)	chord (music)	harmonic set of three or more notes that is heard as if sounding simultaneously		N/a		
537	Christmas	Christmas	festival/holiday commemorating the birth of Jesus Christ and incorporating various Christian, pre-Christian, pagan and secular customs, which is celebrated on December 25 in most places		N/a	2405	CHRISTMAS
538	chrysalis	chrysalis			Animals		
539	chum salmon	chum salmon	fish Oncorhynchus keta		N/a		
540	cicada	cicada			Animals	2353	CICADA
541	cigar	cigar			N/a		
542	cigarette butt	cigarette butt	None		Artifacts		
543	cinema	cinema			Artifacts		
544	cipher, code	cipher, code	method of transforming a text in order to conceal its meaning		N/a		
545	circle	circle			Natural objects	1467	CIRCLE
546	circular halo	circular halo			N/a		
547	cirrus (clouds)	cirrus (clouds)	principal high-level cloud type characterised by white, delicate filaments or wisps, of white (or mostly white) patches, or of narrow bands		Physiologic processes and states		
548	citron	citron			N/a	1126	CITRUS FRUIT
549	city block	city block	smallest part of a town enclosed by streets		N/a		
550	clandestine activity	clandestine activity			N/a		
551	clapper of a bell	clapper of a bell			N/a		
552	clasp, buckle	clasp, buckle			Artifacts		
553	class, lesson	class, lesson	a period of time when students are being taught something at school or university		N/a		
554	classical	classical			N/a		
555	classifier for spherical objects	classifier for spherical objects	None		Artifacts		
556	clavicle	clavicle			Body parts	1994	COLLARBONE
557	claw	claw	curved, pointed horny nail on each digit of the foot of a mammal, reptile, bird, or devil		Animals	72	CLAW
558	claw (of a crustacean)	claw (of a crustacean)	pincer (chela) of a crustacean or other arthropod		N/a	2812	CRAB CLAW
559	clay	clay			Natural objects	1399	CLAY
560	clean (adj.)	clean (adj.)			Other physical	704	CLEAN
561	clever	clever			Non-physical	1310	CLEVER
562	clew	clew			Artifacts		
563	clitoris	clitoris	the small sensitive organ just above the opening of a woman’s vagina which becomes larger when she is sexually excited (Oxford dictionary)		N/a	3257	CLITORIS
564	close (of relations)	close (of relations)			Non-physical		
565	closed	closed			Other physical	589	CLOSED
566	clot of blood	clot of blood			N/a		
567	clothes	clothes			Artifacts	1895	CLOTHES
568	clothes moth	clothes moth			N/a		
569	cloud	cloud			Natural objects	1489	CLOUD
570	cloudberry (Rubus chamaemorus)	cloudberry (Rubus chamaemorus)			N/a		
571	cloudy	cloudy			Non-physical	2341	CLOUDY
572	clove (of a garlic)	clove (of a garlic)			Plants		
573	clove, segment	clove, segment			Natural objects	2000	CLOVE
574	clover	clover			N/a		
575	club (a weapon)	club (a weapon)			N/a	1763	CLUB
576	club-rush (Scirpus)	club-rush (Scirpus)	plant Scirpus sp.		N/a		
577	clubs (in cards)	clubs (in cards)			Abstract entities		
578	clumsy	clumsy			Non-physical		
579	coachman	coachman	man who drives a horse-drawn coach		N/a		
580	coal	coal			Natural objects	2658	COAL
581	coast	coast			Natural objects	1525	COAST
582	coati	coati	any of several omnivorous mammals, of the genus Nasua or Nasuella, in order Carnivora, that live in the range from southern United States to northern Argentina		N/a	2389	COATI (COATIMUNDI)
583	cobalt (metal)	cobalt (metal)			N/a		
584	coccyx, tailbone	coccyx, tailbone	final (bottom-most) fused vertebrae at the base of the spine		Possession		
585	cock (of a gun)	cock (of a gun)	hammer of a firearm trigger mechanism that strikes the cartridge capsule or strikes with a flint to make a spark (in a gun with a percussion flintlock)		Artifacts	1878	COCK
586	cockchafer	cockchafer	any of the large European beetles from the genus Melolontha		N/a		
587	cockroach	cockroach			Animals	1575	COCKROACH
588	cod	cod			Animals		
589	codfish	codfish			N/a		
590	codling moth larva	codling moth larva	caterpillar of Cydia pomonella		N/a		
591	coffee	coffee			N/a	1299	COFFEE
592	coffin	coffin			Artifacts	2011	COFFIN
593	coin	coin			N/a	1867	COIN
594	cold	cold	None		Natural objects	1287	COLD
595	cold (disease)	cold (disease)	None		Physiology	102	COMMON COLD (DISEASE)
596	Coleus (Plectranthus) rotundifolius	Coleus (Plectranthus) rotundifolius	perennial herbaceous plant of the mint family (Lamiaceae) native to tropical Africa. It is cultivated for its edible tubers primarily in West Africa, as well as more recently in parts of Asia, especially India, Sri Lanka, Malaysia, and Indonesia		N/a		
597	collar	collar			Artifacts	2012	COLLAR
598	collarbone	collarbone	a slender, S-shaped long bone approximately 6 inches (15 cm) long that serves as a strut between the shoulder blade and the sternum (breastbone) (Wiki)		N/a	1994	COLLARBONE
599	colored leaves	colored leaves			N/a		
600	colour	colour			Abstract entities	1613	COLOR
601	columbine (Aquilegia)	columbine (Aquilegia)			Plants		
602	comb	comb			Artifacts	1475	COMB
603	comb (of a bird)	comb (of a bird)			Body parts	188	COMB OF BIRD
604	comet	comet	small Solar System body consisting mainly of volatile ice, dust and particles of rock whose very eccentric solar orbit periodically brings it close enough to the Sun that the ice vaporises to form an atmosphere, or coma, which may be blown by the solar wind to produce a visible tail; a celestial phenomenon with the appearance of such a body		Natural objects		
605	comet	comet			Natural objects		
606	comfortable	comfortable			Evaluation		
607	comma	comma	punctuation mark ⟨,⟩ used to indicate a set of parts of a sentence or between elements of a list		N/a		
608	commerce, business	commerce, business			Abstract entities	2931	BUSINESS
609	commodity, goods	commodity, goods			Artifacts		
610	common bullfinch	common bullfinch	bird Pyrrhula pyrrhula		Abstract entities		
611	common buttercup (Ranunculus acris)	common buttercup (Ranunculus acris)			N/a		
612	common buzzard	common buzzard	Buteo buteo, a medium-to-large bird of prey		N/a	1865	BUZZARD
613	common chipmunk	common chipmunk	Eutamias sibiricus		Non-physical		
614	common chub	common chub	fish Squalius cephalus		Plants		
615	common dace	common dace	Leuciscus leuciscus		Animals		
616	common fumitory (Fumaria officinalis)	common fumitory (Fumaria officinalis)			N/a		
617	common jasmine	common jasmine	Jasminum officinale		N/a		
618	common melilot (Melilotus officinalis)	common melilot (Melilotus officinalis)			N/a		
619	common minnow	common minnow	fish Phoxinus phoxinus		Animals		
620	common quail	common quail	bird Coturnix coturnix		Plants	1893	QUAIL
621	common redstart	common redstart	bird Phoenicurus phoenicurus		Tactile quality		
622	common reed	common reed	Phragmites australis		N/a	659	REED
623	common roach	common roach			N/a		
624	common starling	common starling	bird Sturnus vulgaris		Animals		
625	common vole	common vole			N/a		
626	common, shared	common, shared	None		Interpersonal relations		
627	common, shared by several people	common, shared by several people			Non-physical		
