ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
181	三	さん、みっつ	three	mūn̠r̠u	மூன்று	trois	t̠alātah	sān, sān'ge	drei	tīn	tiga	seh	три	tres	tatu
182	四	し、よっつ	four	nān̠ku	நான்கு	quatre	arbaʿah	sì, sìge	vier	cār	empat	chahār 	четыре	cuatro	nne
183	五	ご、いつつ	five	aintu	ஐந்து	cinq	ḫamsah	wǔ, wǔge	fünf	pānc	lima	panj	пять	cinco	tano
184	六	ろく、むっつ	six	ār̠u	ஆறு	six	sittah	liù, liùge	sechs	chā	enam	shesh	шесть	seis	sita
185	七	しち、ななつ	seven	ēl̠u	ஏழு	sept	sabʿah	qī, qīge	sieben	sāt	tudjuh	haft	семь	siete	saba
186	八	はち、やっつ	eight	eṭṭu	ஏட்டு	huit	ṭamāniyah	bā, bāge	acht	āṭh	delapan	hasht	восемь	ocho	nane
187	九	く、きゅう、ここのつ	nine	on̠patu	ஓன்பது	neuf	tisʿah	jiǔ, jiǔge	neun	nao	sembilan	noh	девять	nueve	tisa, kenda
188	十	じゅう、とう	ten	pattu	பத்து	dix	ʿašarah	shí, shíge	zehn	das	sepuluh	dah	десять	diez	kumi
189	二十	にじゅう	twenty	irupatu	இருபது	vingt	ʿišrūn	èrshí	zwanzig	bīs	duapuluh	bīst	двадцать	veinte	ishirini
190	百	ひゃく	hundred	nūr̠u	நூறு	cent	mi)ah	yìbǎi	hundert	sao	seratus	sad	сто	ciento	mia
191	いくら	いくら	how much	evvaḷavu	ஏவ்வளவு	combien	bikam, kam	duōshao	wieviel	kitnā	berapa	chand	сколько	cuánto	kiasi gani
192	いくつ	いくつ	how many	ettan̠ai	ஏத்தனை	combien de	kam	jǐge, duōshao	wie viele	kitnā	berapa	chand	сколько	cuánto	ngapi
193	半分	はんぶん	half	pāti	பாதி	moitié, demi	niṣf	yíbànr	halb	ādhā	setengah, separuh	nesf, nīm	половина	medio, mitad	nusu
194	全部	ぜんぶ、すべて	altogether/all/whole	ellōrum	ஏல்லோரும்	tout	kull	quánbù, quándōu	all, gesamt	sab	segala, semua	hameh	бсё, совсем	todo	zote, nzima
195	若干	じゃっかん、いくらか、いくつか	some	cila	சில	quelque, un peu de	baʿḍ	yìxiē, yìdiǎnr, jǐge	etwas	thōṛā	beberapa	barkhī, ba(z	несколько, немного	alguno	baadhi ya
196	数	かず	number	eṇ	ஏண்	nombre	ʿadad	shù	Nummer	sankhyā	bilangan	shomāreh	число	número	hesabu
197	年、年齢	とし、ねんれい	age	vayatu	வயது	âge	sinn, ʿumr	suìshù	Alter	āyu	umur	senn	возраст	año, edad	umri
198	回［第一回、一回］	かい	(first) time	taṭavai	தடவை	(une) fois	marrah	(dìyí) cì	Mal	bār	kali	bār	(первый) раз	(primera) vez	mara
199	夫	おっと	husband	kaṇavan̠	கணவன்	mari, époux	zawj	zhàngfu	Mann	pati	suami	shouhar	муж	esposo, marido	mume
200	妻	つま	wife	man̠aivi	மனைவி	femme, épouse	zawjah	qīz	Frau	patnī	isteri	zan	жена	esposa, mujer	mke
201	結婚	けっこん	marriage	tirumaṇam	திருமணம்	mariage	zawāj	jiéhūn	Heirat	vivāh, shādī	kawin	(arūsī, ezdevāji	брак	matrimonio, casamiento	ndoa
202	父	ちち	father/papa	appā	அப்பா	père, papa	ab	fùqin	Vater	pitā	bapak, ajah	pedar	отец	padre	baba
203	母	はは	mother/mama	ammā	அம்மா	mère, maman	umm	mǔqin	Mutter	mātā	ibu	mādar	мать	madre	mama
204	祖父	そふ	grandfather/grandpapa	tāttā	தாத்தா	grand-père, grand-papa	jadd	zǔfú	Grossvater	dādā, nānā	kakék	pedar-e-bozorg	дед, дедушка	abuelo	babu
205	祖母	そぼ	grandmother/grandmama	pāṭṭi	பாட்டி	grand-mère, grand-maman	jaddah	zǔmǔ	Grossmutter	dādī, nānī	nénék	mādar-e-bozorg	бабушка	abuela	bibi
206	息子	むすこ	son	makan̠	மகன்	fils	ibn	érz	Sohn	putra	anak laki-laki	pesar	сын	hijo	bin, mtoto wa kiume
207	娘	むすめ	daughter	makaḷ	மகள்	fille	ibnah	nǚér	Tochter	putrī	anak perempuan	dokhtar	дочь	hija	binti, mtoto wa kike
208	子［人間の子］、子供	こ、こども	child	kul̠antai	குழந்தை	enfant	ṭifl	háiz	Kind	baccā	anak	bachcheh	ребёнок (дитя)	hijo	mtoto
209	子［動物の仔］	こ	young	kuṭṭi	குட்டி	petit	mawlūdu lḥayawānāt	zǎir	Junge	baccā	anak	bachcheh	детёныш	ito, ita	mtoto
210	孫	まご	grandchild/grandson/granddaughter	pērak kul̠antai/ pēran̠/pētti	பேரக் குழந்தை/ பேரன்/பேத்தி	petit-fils, petite-fille	ḥafīd ḥafīdah	sūnz, sūnnǚ	Enkel, Enkelin, Kindeskird	pōtā, pōtī	tjutju	naveh	внук, внучка	nieto, nieta	mjukuu
211	兄	あに	elder brother	aṇṇan̠	அண்ணன்	frère aîné	aḫ kabīr	gēge	Bruder	baṛā bhāī	abang	barādar-e-bozorg	старший брат	hermano mayor	kaka mkubwa
212	姉	あね	elder sister	akkā:	அக்கா:	sœur aînée	uḫt kabīrah	jiějie	Schwester	baṛī bahin	kakak	khwāhar-e-bozorg	старшая сестра	hermana mayor	dada mkubwa
213	弟	おとうと	younger brother	tampi	தம்பி	frère cadet	aḫ ṣaġīr	dìdi	jüngerer Bruder	chōṭā bhāī	adik laki-laki	barādar-e-kūchek	младший брат	hermano menor	kaka mdogo
214	妹	いもうと	younger sister	taṅkai	தங்கை	sœur cadette	uḫt ṣaġīrah	mèimei	jüngere Schwester	chōṭī bahin	adik perempuan	khwāhar-e-kūchek	младшал сестра	hermana menor	dada mdogo
215	兄弟	きょうだい	brother	cakō:taran̠	சகோ:தரன்	frère	aḫ	xīongdì	Brüder	bhāī	saudara laki-laki	barādar	брат	hermano	kaka, ndugu wa kiume
216	姉妹	しまい	sister	cakō:tari	சகோ:தரி	sœur	uḫt	jiěmèi	Schwester	bahin	saudara perempuan	khwāhar	сестра	hermana	dada, ndugu wa kike
217	家族	かぞく	family	kuṭumpam	குடும்பம்	famille	ʿā'ilah, 'usrah	jiāzú	Familie	pariwār	keluarga, pamili	khānevādeh	семья	familia	jamaa, watu wa nyumbani
218	友達	ともだち	friend/mate	naṇpan̠	நண்பன்	camarade	ṣadīq	péngyou	Freund	mitra	teman, sahabat	dūst	друг, приятель, товарищ	amigo(a)	rafiki
219	喧嘩	けんか	quarrel	caccaravu	சச்சரவு	querelle	mušājarah	chǎojià	Streit	jhagṛā	pertengkaran	da(vā	ссора	querella riña	ugomvi, mapigano
220	力	ちから	force/strength/power/might	valimai	வலிமை	force, pouvoir, puissance	qūwah, qudrah	lìliang	Macht, Kraft, Gewalt	shakti	tenaga	zūr, nīrū, qoveh	сила, мочь, могущество	fuerza, poder	nguvu
221	唖	おし	dumb	ūmai	ஊமை	muet	aḫras	yǎba	stumm	mūktā	bisu	gong	немой	mudo	bubu, ububu
222	聾	つんぼ	deaf	ceviṭu	சேவிடு	sourdité, sourd	aṭraš	lóngz	taub	bahirāpan	tuli	kar	глухой	sordo	kiziwi, ukiziwi
223	盲	めくら	blind	kuruṭu	குருடு	aveugle	aʿmā	xiāz	blind	andhtā	buta	kūr	слепой	ciego	kipofu, upofu
224	男	おとこ	male	āṇ	ஆண்	homme	rajul	nánren	Mann	puruṣ	laki-laki, lelaki	mard	мужчина	varón, hombre	mwanamume
225	女	おんな	female	peṇ	பேண்	femme	mar'ah	nǚrén	Frau	strī	perempuan	zan	женщина	mujer	mwanamke
226	人	ひと	person/man/one	āḷ/man̠itan̠	ஆள்/மனிதன்	homme, personne, on	šaḫṣ, fard	rén	Person, Mann	manuṣya	orang	shakhs, kas, mard	человек, лицо, личность	persona, uno	mtu
227	私	わたし	I (1st per. sg)	nān̠	நான்	je, moi	ana	wǒ	ich	main	saja	man	я	yo	mimi
228	あなた	あなた	you (2nd per. sg)	nī/nīṅkaḷ	நீ/நீங்கள்	vous	anta, 'anti	nǐ	du, Sie	āp	anda	tō	ты, вы	usted	wewe
229	彼	かれ	he (3rd per. sg.)	aran̠/avar	அரன்/அவர்	il, lui	huwa	tā	er	voh	ia, dia	ū	он	él	yeye
230	彼女	かのじょ	she (3rd per. sg.)	avaḷ/avar	அவள்/அவர்	elle	hiya	tā	sie	voh	ia, dia	ū	она	ella	yeye
231	私達	わたしたち	we (1st per. dual incl)	nām, nāṅkaḷ	நாம், நாங்கள்	nous	naḥn	wǒmen	wir	ham	kita, kami	mā	мы	nosotros	sisi
232	あなた達	あなたたち	you (2nd per. pl.)	nī/nīr/nīṅkaḷ	நீ/நீர்/நீங்கள்	vous	antum	nǐmen	ihr, Sie	āp lōg	anda	shomā	вы	ustedes	ninyi
233	彼等（複）	かれら	they (3rd per. pl.)	avarkaḷ	அவர்கள்	ils	hum	tāmen	sie	vē	meréka	īshān	они	ellos	wao
234	彼女等（複）	かのじょら	they (3rd per. pl.)	avarkaḷ	அவர்கள்	elles	hunna	tāmen	sie	vē	meréka	īshān	они	ellas	wao
235	自分	じぶん	oneself/self	tān̠	தான்	soi-même	nafs	zìjǐ	selbst	apnā	sendiri	khod	себя, сам	sí	mwenyewe
236	他の	ほかの	else/other	vēr̠u	வேறு	autre	āḫar	biéde	ander, weiter, sonstig	dūsrā	lain	dīgar	другой	otro	ingine
237	誰	だれ	who	yār	யார்	qui	man	shuí	wer	kaon	siapa	kī	кто	quien	nani
238	姓名の名	な	name/first name	(mutal) peyar	(முதல்) பேயர்	nom, prénom	)ism	míngz	Name, Familienname	nām	nama ketjil	esm, nām	имя	apellido, nombre	jina
239	名前、名称	なまえ、めいしょう	name	peyar	பேயர்	nom	)ism	míngz	Name	nām	nama	nām	имя, название	nombre	jina
240	字、文字	じ、もじ	letter	el̠uttu	ஏழுத்து	lettre	ḥarf, ḫaṭṭ	zì, wénzì	Buchstabe	lipi	huruf	harf	буква	letra	herufi
241	声	こえ	voice	kural	குரல்	voix	ṣawt	shēngyīn	Stimme	swar	suara	sedā	голос	voz	sauti
242	音	おと	sound	oli	ஓலி	son	ṣawt	shēngyīn	Ton	dhwani	bunji	sedā, āvāz	звук	sonido	sauti, kelele
243	言葉	ことば	language/speech	mol̠i/pē:ccu	மோழி/பே:ச்சு	langage, parole	kalām, lafẓah	yǔyán, huà	Sprache	bhāṣā	perkataan	zabān	язык, речь, слово	lenguaje	lugha, maneno
244	心	こころ	mind/heart	man̠am/itayam	மனம்/இதயம்	cœur	qalb	xīn	Herz	man	djiwa	del	сердце	corazón	moyo, roho
245	神	かみ	God	kaṭavuḷ	கடவுள்	Dieu	allāh	shén	Gott	īshwar	Tuhan	khodā	бог	Dios	Mungu
246	祭り	まつり	feast/festival	viruntu/paṇṭikai	விருந்து/பண்டிகை	fête	ʿīd	jiérì, miàohuì	Fest	tyōhār	pésta	jashn	празднество, праздник	fiesta	sikukuu, idi
247	村	むら	village	kirāmam	கிராமம்	village	qaryah	cūn	Dorf	gāōn	désa	deh	село, деревня	aldea, pueblo	kijiji
248	町	まち	town	nakaram	நகரம்	ville	madīnah, balad	zhèn, jiēshang	Stadt	nagar	kota	shahr	город	pueblo, villa	mji
249	これ、近称	これ	this (one)	itu/inta	இது/இந்த	ceci, celui-ci, celle-ci, ce	hād̠ā, hād̠ihi	zhè(ge)	das	yeh	ini	īn	это	ésta, éste, esto	hii, huyu, hiki
250	それ、三人称単数	それ	it	atu	அது	ça, il	hūwa, hu, hā	nà(ge), tā	es	voh	itu	ān	он, она, оно, это	ése, ésa, eso	hii, huyu, hiki
251	あれ	あれ	that (one)	atu/anta	அது/அந்த	cela, celui-là, celle-là	hūwa, hu, hā	nà(ge)	das	voh	itu	ān	то	áquel, áquella, áquello	ile, yule, kile
252	どれ、不定称	どれ	which one	etu/enta	ஏது/ஏந்த	lequel, laquelle, lesquels, lesquelles	ayy	nǎ(ge)	welch	kaonsā	mana	kodām	который, какой	cuál, cuáles	Ipi, Kipi, Yupi, Wapi ～
253	何	なに	what	en̠n̠a	ஏன்ன	que, quoi	mā, mād̠ā	shénme	was	kyā	apa	cheh	что	qué	nini
254	何故	なぜ	why	ē:n̠	ஏ:ன்	pourquoi	limād̠ā	wèishénme	warum	kyōn	kenapa	cherā	почему, зачем	por qué	kwa nini, sababu gani
255	これら	これら	these (ones)	ivai	இவை	ceux-ci, celles-ci	hād̠ihi, hāwlā'i	zhèxiē	diese	yē	ini	īn-hā	(эти), это	éstos, éstas	hizi, hawa, hivi
256	どう、どのように	どう、どのように	how	eppaṭi	ஏப்படி	comment	kayfa	zěnme(yàng), zěnyàng	wie	kaisā	bagaimana	che tour	как	como	namna gani
257	ここ	ここ	here	iṅkē	இங்கே	ici	hunā	zhèr	hier	yahān	sini	īnjā	эдесь, тут	aquí, acá	hapa
258	そこ	そこ	there	aṅkē	அங்கே	là	hunāka	zhèr, nàr	dort, da	vahān	situ	ānjā	там, тут	allí, allá, ahí	hapo
259	あそこ	あそこ	that place/over there	aṅkē	அங்கே	là-bas	hunāka	nàr	dort, drüben	vahān	sana	ānjā	там	allá, allí	pale
260	どこ	どこ	where/anywhere	eṅkē/eṅkēyāvatu	ஏங்கே/ஏங்கேயாவது	où	ayna	nǎr	wo, irgendwo	kahān	mana	kojā	где	dónde	wapi
261	こちら、こっち	こちら、こっち	this way	inta val̠i	இந்த வழி	par ici, de ce côté-ci	hunā	zhèbiān	hierher	idhar	sini	īn rāh	сюда	aquí, aca	upande huu
262	そちら、そっち	そちら、そっち	that way	anta val̠i	அந்த வழி	par là, de ce côté-là	hunāka	zhèbiān, nàbiān	dorthin, dahin	udhar	situ	ān rāh	туда	allá, allí, ahí	upande ule
263	あちら、あっち	あちら、あっち	away/that way	anta val̠i	அந்த வழி	par là, de ce côté-là	hunāka	nàbiān	weg	udhar	sana	ān taraf	туда	allá, allí	kule, pale
264	どちら、どっち	どちら、どっち	where	enta val̠i	ஏந்த வழி	lequel, laquelle	ayy, 'ayna	nǎbiān	welch, wo	kidhar	mana	kodām, kojā	куда	cuál?, cuáles?	wapi, upande gani
265	所、場所	ところ、ばしょ	place/location	iṭam	இடம்	endroit, place	makān, maḥall	dìfang, dìdiǎn	Platz	sthān	tempat	jā	место	lugar, sitio	mahali
266	左	ひだり	left	iṭaru	இடரு	gauche	yasār, šamāl	zuǒ	links	bāyan	kiri	chap	девый, налево	izaquierda	kushoto
267	右	みぎ	right	valatu	வலது	droit(e)	yamīn	yòu	rechts	dāyan	kanan	rāst	правый, направо	derecha	kulia
268	前、前方	まえ、ぜんぽう	front	mun̠pakkam	முன்பக்கம்	devant	muqaddam, 'amām	qiánbián	Front	āgē	muka	jelou	перёд, фасад, впереди	delante, frente	mbele
269	後ろ	うしろ	back	pin̠ pur̠am	பின் புறம்	derrière	ḫalf	hòubiān	Rücken	pīchē	belakang	(aqab, posht	тыл, зад	detrás, atrás	nyuma
270	内、内部	うち、ないぶ	inside/inward/interior	uḷḷē	உள்ளே	entérieur, dedans	jawf	lǐbiān	Innere	andar	dalam	tū	внутренность, внутренний	interior	ndani
271	外、外部	そと、がいぶ	out/outside/exterior	veḷiyē	வேளியே	dehors, extérieur	ḫarij	wàibiān	Äussere	bāhar	luar	bīrūn	наружность, внешний мир	exterior	nje
272	間	あいだ	space	iṭaiveḷi	இடைவேளி	intervalle	ittisāʿ	jiān	Raum	madhya	antara	fāseleh	расстояние	espacio, intervalo	katikati
273	上	うえ	up	mēlē	மேலே	haut(e)	fawq	shàng	(oben, ober), Obere	ūpar	atas	bālā	верхний, вверх, вверху	arriba	juu
274	下	した	down	kī:l̠ē	கீ:ழே	bas	taḥt	xià	(unten, unter) Untere	nīcē	bawah	pāīn	нижний, вниз, внизу	abajo	chini
275	見る	みる	look/see (Vt)	pār	பார்	regarder, voir	naẓara, ra'ā	kàn	sehen, schauen, blicken	dēkhnā	melihat	dīdan	смотреть, видеть	ver, mirar	ona, tazama
276	見せる、示す	みせる、しめす	show (Vt)	kāṭṭu	காட்டு	montrer	arā, 'aẓhara	gěikàh	zeigen	dikhānā	melihatkan	neshān dādan	показать	mostrar	onyesha
277	聞く	きく	hear (Vt)	kēḷ	கேள்	écouter, entendre	samiʿa, 'istamaʿa	tīng	hören, vernehmen	sunnā	mendengar	shanīdan	слушать	escuchar	sikia
278	嗅ぐ	かぐ	smell (Vt)	vācan̠aipār	வாசனைபார்	sentir	šamma	wén	riechen	sunghnā	mentjium	būīdan	нюхать	oler	nusa
279	呼吸する、息をする	こきゅうする、いきをする	breathe (Vi)	mūccu viṭu	மூச்சு விடு	respirer	tanaffasa	hūxī	atmen	sīns lēnā	bernapas	nafas kashīdan	дышать	respirar	pumua
280	言う	いう	say (Vt)	col	சோல்	dire	qāla	shuō	sagen	kahnā	menjebut	goftan	говорить, сказать	decir	sema
281	呼ぶ	よぶ	call (Vt)	al̠ai	அழை	appeler	daʿā	jiào	rufen	bulānā	memanggil	sedā zadan	позывать, звать	llamar	ita
282	叫ぶ	さけぶ	cry/shout (Vi)	kattu	கத்து	crier	ṣāḥa, ṣaraḫa	hǎn	schreien	cillānā	mendjerit	dād zadan	кричать	gritar	piga kelele, paaza sauti
283	歌う	うたう	sing (V)	pāṭu	பாடு	chanter	ġannā	chàng	singen	gānā	menjanji	khwāndan, sorūdan	петь	cantar	imba
284	踊る	おどる	dance (Vi)	āṭu	ஆடு	danser	raqaṣa	tiàowǔ	tanzen	nācnā	menari	raqsīdan	танцевать	bailar	cheza ngoma
285	話す	はなす	talk (V)	pēcu	பேசு	parler	taḥaddat̠a	shuōhuà, tánhuà	sprechen	bōlnā	berkata	sohbat kardan	говорить, разговаривать	hablar	zungumza
286	知らせる	しらせる	inform/announce (Vt)	terivi/ar̠ivi	தேரிவி/அறிவி	informer, annoncer	aʿlama	gàosu	mitteilen	vigyāpan karnā	memberi tahu	āgāhī dādan	извещать, уведомлять, сообщать	anunciar, informar	ambia
287	吸う	すう	breathe in/suck (Vt)	mūccu uḷḷil̠u/uṅñcu	மூச்சு உள்ளிழு/உங்ஞ்சு	aspirer	tanaffasa, tanassama	xī, chōu	einatmen, saugen	cūsnā	mengisap	nafas forū bordan	сосать	aspirar	vuta, nyonya, fyonza
288	吐く	はく	vomit (Vt)	vānti eṭu	வாந்தி ஏடு	vomir	taqayya'a, 'istafraġa	tǔ	[sich] erbrechen	ulṭī karnā	muntah	qei kardan	тошнить, рвать	vomitar	toa, tapika
289	唾を吐く	つばをはく	spit (V)	tuppu	துப்பு	cracher	baṣaqa	tú tuòmo	speien, spucken	thūknā	meludah	tof kardan	выплёвывать	escupir	tema mate
290	噛む、咬みつく	かむ、かみつく	bite (Vt)	kaṭi	கடி	mordre	ʿaḍḍa	yǎo	beissen	cabānā	menggigit	gazīdan	кусать, жевать	morder	uma
291	笑う	わらう	laugh (Vi)	ciri	சிரி	rire	ḍaḥika	xiào	iachen	hansnā	tertawa	khandīdan	смеяться	reir	cheka
292	泣く	なく	weep (Vi)	al̠u	அழு	pleurer	bakā	kū	weinen	rōnā	menangis	gerīstan	плакать	llorar	lia
293	喜ぶ、嬉しい 	よろこぶ、うれしい	rejoice/glad (Vi)	makil̠cciyūṭṭu	மகிழ்ச்சியூட்டு	se réjouir, heureux(se), content(e), joyeux(se)	surra	huānxǐ	sich freuen	prasanna hōnā	gembira	shād shodan, khoshhāl	радоваться	regocijarse, alegrarse	furahi
294	怖がる、恐れる	こわがる、おそれる、おそろしい	fear (V)/be afraid/be scared	payappaṭu	பயப்படு	craindre, avoir peur, horrib terrible, epouvantable	faziʿa	hàipà	sich fürchten	ḍar lagnā	takut	tarsīdan	бояться	tener miedo, temer	ogopa
