NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
1030	udder	pis, mamelle	4.42	the udder	6	2	3	Animals	MAMMALS	Mammal parts
1031	tail	queue	4.18	the tail	6	2	3	Animals	MAMMALS	Mammal parts
1032	hoof	sabot			6	2	3	Animals	MAMMALS	Mammal parts
1033	mane	crinière			6	2	3	Animals	MAMMALS	Mammal parts
1034	elephant's trunk	trompe (d'éléphant)			6	2	3	Animals	MAMMALS	Mammal parts
1035	elephant's tusk	defense (d'éléphant)			6	2	3	Animals	MAMMALS	Mammal parts
1036	den, lair, hole	tanière, antre, terrier			6	2	3	Animals	MAMMALS	Mammal parts
1037	bark (as dog) (v)	aboyer (comme un chien)			6	2	4	Animals	MAMMALS	Mammal actions
1038	bare, show (teeth)	montrer les dents			6	2	4	Animals	MAMMALS	Mammal actions
1039	growl	grogner			6	2	4	Animals	MAMMALS	Mammal actions
1040	ruminate, chew cud	ruminer			6	2	4	Animals	MAMMALS	Mammal actions
1041	bird	oiseau	3.581	the bird	6	3		Animals	BIRDS	
1042	crow	corbeau	3.593	the crow	6	3		Animals	BIRDS	
1043	dove	colombe	3.594	the dove	6	3		Animals	BIRDS	
1044	weaver-bird	tisserin			6	3		Animals	BIRDS	
1045	parrot	perroquet	3.592	the parrot	6	3		Animals	BIRDS	
1046	partridge	perdrix			6	3		Animals	BIRDS	
1047	cattle egret	garde-boeuf			6	3		Animals	BIRDS	
1048	heron	héron	3.583	the heron	6	3		Animals	BIRDS	
1049	kingfisher	martin pêcheur			6	3		Animals	BIRDS	
1050	hornbill	calao			6	3		Animals	BIRDS	
1051	pelican	pélican			6	3		Animals	BIRDS	
1052	stork (marabou)	marabout			6	3		Animals	BIRDS	
1053	ostrich	autruche			6	3		Animals	BIRDS	
1054	owl	hibou	3.596	the owl	6	3		Animals	BIRDS	
1055	eagle	aigle	3.584	the eagle	6	3		Animals	BIRDS	
1056	hawk	épervier, faucon	3.585	the hawk	6	3		Animals	BIRDS	
1057	vulture	vautour	3.586	the vulture	6	3		Animals	BIRDS	
1058	feather	plume	4.393	the feather	6	3	1	Animals	BIRDS	Bird parts and things
1059	wing	aile	4.392	the wing	6	3	1	Animals	BIRDS	Bird parts and things
1060	beak, bill	bec			6	3	1	Animals	BIRDS	Bird parts and things
1061	crest (of bird)	crête (d'oiseau)			6	3	1	Animals	BIRDS	Bird parts and things
1062	comb (of rooster)	crête (de coq)			6	3	1	Animals	BIRDS	Bird parts and things
1063	crop (of bird)	jabot			6	3	1	Animals	BIRDS	Bird parts and things
1064	gizzard	gésier			6	3	1	Animals	BIRDS	Bird parts and things
1065	claw	griffe	4.345	the claw	6	3	1	Animals	BIRDS	Bird parts and things
1066	egg	oeuf	5.97	the egg	6	3	1	Animals	BIRDS	Bird parts and things
1067	eggshell	coquille d'oeuf			6	3	1	Animals	BIRDS	Bird parts and things
1068	yolk (of egg)	jaune d'oeuf			6	3	1	Animals	BIRDS	Bird parts and things
1069	nest	nid	3.58	the nest	6	3	1	Animals	BIRDS	Bird parts and things
1070	flock (of birds)	vol, volée (d'oiseaux)			6	3	1	Animals	BIRDS	Bird parts and things
1071	fly (v)	voler			6	3	2	Animals	BIRDS	Bird actions
1072	dive	plonger	10.351	to dive	6	3	2	Animals	BIRDS	Bird actions
1073	soar	planer			6	3	2	Animals	BIRDS	Bird actions
1074	land (v), alight	aterrir, se poser			6	3	2	Animals	BIRDS	Bird actions
1075	perch	se percher			6	3	2	Animals	BIRDS	Bird actions
1076	flap the wings	battre les ailes			6	3	2	Animals	BIRDS	Bird actions
1077	cackle (as of chicken)	caqueter (p.ex. poule)			6	3	2	Animals	BIRDS	Bird actions
1078	crow (as a rooster) (v)	chanter (p.ex. coq)			6	3	2	Animals	BIRDS	Bird actions
1079	peck (tr)	picorer			6	3	2	Animals	BIRDS	Bird actions
1080	lay (eggs)	pondre (oeuf)			6	3	2	Animals	BIRDS	Bird actions
1081	incubate, set (on eggs)	couver			6	3	2	Animals	BIRDS	Bird actions
1082	hatch	éclore			6	3	2	Animals	BIRDS	Bird actions
1083	fish	poisson	3.65	the fish	6	4		Animals	FISH	
1084	catfish	poisson-chat, silure			6	4		Animals	FISH	
1085	mudfish (lives in the mud during dry season)	poisson-boue (vit dans la boue en saison sèche)			6	4		Animals	FISH	
1086	eel	anguille			6	4		Animals	FISH	
1087	fish bone	arête de poisson			6	4	1	Animals	FISH	Fish parts
1088	fish-scale	écaille			6	4	1	Animals	FISH	Fish parts
1089	gill	ouïes	3.654	the gill	6	4	1	Animals	FISH	Fish parts
1090	fin	nageoire	3.652	the fin	6	4	1	Animals	FISH	Fish parts
1091	crab	crabe		the crab	6	4	2	Animals	FISH	Shellfish and mollusks
1092	shrimp	crevette			6	4	2	Animals	FISH	Shellfish and mollusks
1093	clam	palourde, clam			6	4	2	Animals	FISH	Shellfish and mollusks
1094	snail	escargot	3.94	the snail	6	4	2	Animals	FISH	Shellfish and mollusks
1095	snake	serpent	3.85	the snake	6	5		Animals	REPTILES	
1096	spitting cobra	cobra cracheur			6	5		Animals	REPTILES	
1097	puff adder	vipère			6	5		Animals	REPTILES	
1098	python	python			6	5		Animals	REPTILES	
1099	green mamba	mamba vert			6	5		Animals	REPTILES	
1100	lizard	lézard	3.96	the lizard	6	5		Animals	REPTILES	
1101	agama lizard (red-headed)	margouillat			6	5		Animals	REPTILES	
1102	chameleon	caméléon	3.913	the chameleon	6	5		Animals	REPTILES	
1103	gecko	gecko			6	5		Animals	REPTILES	
1104	monitor lizard	varan (terrestre)			6	5		Animals	REPTILES	
1105	crocodile	crocodile			6	5		Animals	REPTILES	
1106	frog	grenouille	3.95	the frog	6	5		Animals	REPTILES	
1107	toad	crapaud			6	5		Animals	REPTILES	
1108	tortoise (land)	tortue (terrestre)			6	5		Animals	REPTILES	
1109	turtle (water)	tortue (aquatique)			6	5		Animals	REPTILES	
1110	fang (of snake)	crochet (de serpent)			6	5	1	Animals	REPTILES	Reptile parts
1111	venom (of snake)	venin (de serpent)			6	5	1	Animals	REPTILES	Reptile parts
1112	shell (of turtle)	carapace (de tortue)			6	5	1	Animals	REPTILES	Reptile parts
1113	slither (snake)	onduler, glisser			6	5	2	Animals	REPTILES	Reptile actions
1114	bite (snake)	mordre, piquer (serpent)			6	5	2	Animals	REPTILES	Reptile actions
1115	crawl (lizard)	ramper (lézard)			6	5	2	Animals	REPTILES	Reptile actions
1116	hiss	siffler (reptile)			6	5	2	Animals	REPTILES	Reptile actions
1117	insect	insecte	3.81	the insect	6	6		Animals	INSECTS	
1118	flea	puce	3.813	the flea	6	6		Animals	INSECTS	
1119	louse	pou (de tête)			6	6		Animals	INSECTS	
1120	bedbug	punaise			6	6		Animals	INSECTS	
1121	maggot (in rotten meat)	asticot, ver blanc			6	6		Animals	INSECTS	
1122	cockroach	cafard	3.816	the cockroach	6	6		Animals	INSECTS	
1123	ant	fourmi	3.817	the ant	6	6		Animals	INSECTS	
1124	army ant, soldier ant	fourmi soldat			6	6		Animals	INSECTS	
1125	flying ant	fourmi volante			6	6		Animals	INSECTS	
1126	termite	termite			6	6		Animals	INSECTS	
1127	spider	araignée	3.818	the spider	6	6		Animals	INSECTS	
1128	tarantula	tarentule			6	6		Animals	INSECTS	
1129	scorpion	scorpion	3.815	the scorpion	6	6		Animals	INSECTS	
1130	dung beetle	bousier			6	6		Animals	INSECTS	
1131	jigger	chique			6	6		Animals	INSECTS	
1132	grasshopper	sauterelle	3.93	the grasshopper	6	6		Animals	INSECTS	
1133	cricket	grillon			6	6		Animals	INSECTS	
1134	locust	locuste, criquet			6	6		Animals	INSECTS	
1135	praying mantis	mante religieuse			6	6		Animals	INSECTS	
1136	leech	sangsue			6	6		Animals	INSECTS	
1137	caterpillar	chenille			6	6		Animals	INSECTS	
1138	centipede	scolopendre	3.814	the centipede	6	6		Animals	INSECTS	
1139	millipede	iule, mille-pattes			6	6		Animals	INSECTS	
1140	earthworm	ver de terre			6	6		Animals	INSECTS	
1141	fly (n)	mouche			6	6	1	Animals	INSECTS	Flying insects
1142	mosquito	moustique	3.832	the mosquito	6	6	1	Animals	INSECTS	Flying insects
1143	bee	abeille	3.82	the bee	6	6	1	Animals	INSECTS	Flying insects
1144	mud wasp	guêpe-maçon			6	6	1	Animals	INSECTS	Flying insects
1145	dragonfly	libellule			6	6	1	Animals	INSECTS	Flying insects
1146	butterfly	papillon	3.92	the butterfly	6	6	1	Animals	INSECTS	Flying insects
1147	moth	papillon de nuit			6	6	1	Animals	INSECTS	Flying insects
1148	antenna	antenne			6	6	2	Animals	INSECTS	Insect things
1149	sting (v)	piquer			6	6	2	Animals	INSECTS	Insect things
1150	stinger	dard, aiguillon			6	6	2	Animals	INSECTS	Insect things
1151	spider's web	toile d'araignée			6	6	2	Animals	INSECTS	Insect things
1152	cocoon	cocon			6	6	2	Animals	INSECTS	Insect things
1153	termite hill	termitière			6	6	2	Animals	INSECTS	Insect things
1154	beehive	ruche	3.822	the beehive	6	6	2	Animals	INSECTS	Insect things
1155	beeswax, bee-bread	cire d'abeille			6	6	2	Animals	INSECTS	Insect things
1156	honey	miel	5.84	the honey	6	6	2	Animals	INSECTS	Insect things
1157	swarm (n)	essaim			6	6	2	Animals	INSECTS	Insect things
1158	tree	arbre	8.6	the tree	7	1	1	PLANTS	TYPES OF PLANTS	Trees
1159	ebony tree	ébène			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1160	mahogany tree	acajou			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1161	teak tree	teck			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1162	baobab tree	baobab			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1163	silk-cotton tree, kapok tree	kapokier			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1164	shea-butter tree, shea-nut tree	karité			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1165	fig tree	figuier			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1166	thorn-tree	arbre épineux			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1167	tamarind tree	tamarinier			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1168	oil palm	palmier à huile			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1169	coconut palm	cocotier			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1170	raffia palm	raphia			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1171	date palm	dattier			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1172	bush	arbuste, buisson			7	1	1	PLANTS	TYPES OF PLANTS	Trees
1173	grass	herbe	8.51	the grass	7	1	2	PLANTS	TYPES OF PLANTS	Grasses
1174	bamboo	bambou	8.94	the bamboo	7	1	2	PLANTS	TYPES OF PLANTS	Grasses
1175	reed	roseau		the reed	7	1	2	PLANTS	TYPES OF PLANTS	Grasses
1176	weeds	mauvaises herbes			7	1	2	PLANTS	TYPES OF PLANTS	Grasses
1177	leaf	feuille	8.56	the leaf	7	2		PLANTS	PLANT PARTS	
1178	branch (of tree)	branche (d'arbre)			7	2		PLANTS	PLANT PARTS	
1179	trunk (of tree)	tronc (d'arbre)			7	2		PLANTS	PLANT PARTS	
1180	bark (of tree)	écorce (d'arbre)			7	2		PLANTS	PLANT PARTS	
1181	sap	sève	8.76	the sap	7	2		PLANTS	PLANT PARTS	
1182	stump	souche			7	2		PLANTS	PLANT PARTS	
1183	root	racine	8.54	the root	7	2		PLANTS	PLANT PARTS	
1184	bulb, tuber	bulbe, rubercule			7	2		PLANTS	PLANT PARTS	
1185	stem, stalk (of maize, millet, etc.)	tige (de maïs, de mil)			7	2		PLANTS	PLANT PARTS	
1186	silk, hair (of maize)	poils, "barbe" (de maïs)			7	2		PLANTS	PLANT PARTS	
1187	blade (of grass)	brin (d'herbe)			7	2		PLANTS	PLANT PARTS	
1188	flower	fleur	8.57	the flower	7	2		PLANTS	PLANT PARTS	
1189	bud	bourgeon, bouton			7	2		PLANTS	PLANT PARTS	
1190	shoot (new plant)	pousse, rejeton			7	2		PLANTS	PLANT PARTS	
1191	vine	liane	8.67	the vine	7	2		PLANTS	PLANT PARTS	
1192	tendril	vrille			7	2		PLANTS	PLANT PARTS	
1193	thorn	épine			7	2		PLANTS	PLANT PARTS	
1194	palm branch, frond	palme			7	2		PLANTS	PLANT PARTS	
1195	midrib of palm-frond	nervure centrale de palme, rachis			7	2		PLANTS	PLANT PARTS	
1196	palm needle	foliole, feuille du palmier			7	2		PLANTS	PLANT PARTS	
1197	juice	jus			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1198	stone, pit	noyau			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1199	regime (of bananas)	régime (de bananes)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1200	corn cob	épi (de maïs)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1201	kernel (of corn, maize)	grain (de maïs)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1202	seed	grain, semence	8.311	the seed	7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1203	skin (of fruit)	peau, pelure (de fruit)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1204	shell (of groundnut)	coquille (d'arachide)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1205	corn husk (n)	enveloppe (de maïs)			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1206	chaff	balle			7	3	1	PLANTS	PLANT PRODUCTS	Plant product parts
1207	fruit	fruit	5.71	the fruit	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1208	banana	banane (douce)	8.84	the banana	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1209	plantain	plantain, banane à cuire			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1210	lemon	citron		the lemon	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1211	orange	orange		the orange	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1212	grapefruit	pamplemousse			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1213	pawpaw, papaya	papaye			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1214	pineapple	ananas		the pineapple	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1215	guava	goyave			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1216	avocado	avocat			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1217	fig	figue	5.75	the fig	7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1218	date	datte			7	3	2	PLANTS	PLANT PRODUCTS	Fruits
1219	tomato	tomate			7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1220	onion	oignon		the onion	7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1221	garlic	ail		the garlic	7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1222	pepper (green)	poivre (vert)			7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1223	red pepper, hot pepper	piment, poivron rouge			7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1224	okra	gumbo			7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1225	egg-plant	aubergine			7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1226	mushroom	champignon	8.98	the mushroom	7	3	3	PLANTS	PLANT PRODUCTS	Vegetables
1227	cassava, manioc	manioc			7	3	4	PLANTS	PLANT PRODUCTS	Tubers
1228	cocoyam, taro	taro			7	3	4	PLANTS	PLANT PRODUCTS	Tubers
1229	yam	igname	8.912	the yam	7	3	4	PLANTS	PLANT PRODUCTS	Tubers
1230	sweet potato	potate douce	8.91	the sweet potato	7	3	4	PLANTS	PLANT PRODUCTS	Tubers
1231	potato	pomme de terre	5.7	the potato	7	3	4	PLANTS	PLANT PRODUCTS	Tubers
1232	maize, corn	maïs			7	3	5	PLANTS	PLANT PRODUCTS	Cereals
1233	millet (rainy season)	mil (saison de pluies)			7	3	5	PLANTS	PLANT PRODUCTS	Cereals
1234	sorghum (dry season)	sorgho (saison sèche)			7	3	5	PLANTS	PLANT PRODUCTS	Cereals
1235	guinea corn	millet de Guinée, petit mil			7	3	5	PLANTS	PLANT PRODUCTS	Cereals
1236	rice	riz	8.48	the rice	7	3	5	PLANTS	PLANT PRODUCTS	Cereals
1237	groundnut, peanut	arachide			7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1238	sesame seed	(graines de) sésame			7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1239	cola nut	noix de kola			7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1240	palm nut	noix de palm			7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1241	sugar cane	canne à sucre	8.941	the sugar cane	7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1242	coffee	café	23.91	the coffee	7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1243	rubber	caoutchouc, latex			7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1244	cotton	coton	6.24	the cotton	7	3	6	PLANTS	PLANT PRODUCTS	Other plant products
1245	grow (of plants)	pousser (plantes)			7	4		PLANTS	PLANT PROCESSES	
1246	sprout (v)	apparaître, germer			7	4		PLANTS	PLANT PROCESSES	
1247	(be) ripe	(être) mûr (fruit)			7	4		PLANTS	PLANT PROCESSES	
1248	ripen, become ripe	mûrir			7	4		PLANTS	PLANT PROCESSES	
1249	(be) unripe	(être) non-mûr, vert			7	4		PLANTS	PLANT PROCESSES	
1250	(be) rotten	(être) pourri, gâté			7	4		PLANTS	PLANT PROCESSES	
1251	(be) shrivelled, (be) wrinkled (fruit)	(être) ridé, ratiné, flétri			7	4		PLANTS	PLANT PROCESSES	
1252	wither (plant)	se flétrir, se faner			7	4		PLANTS	PLANT PROCESSES	
1253	blight (n)	rouille, nielle			7	4		PLANTS	PLANT PROCESSES	
1254	world	monde	1.1	the world	8	1	1	ENVIRONMENT	NATURE	Areas, region
1255	place	endroit, lieu	12.11	the place	8	1	1	ENVIRONMENT	NATURE	Areas, region
1256	desert	désert			8	1	1	ENVIRONMENT	NATURE	Areas, region
1257	grassland	savane			8	1	1	ENVIRONMENT	NATURE	Areas, region
1258	forest	forêt			8	1	1	ENVIRONMENT	NATURE	Areas, region
1259	open place, clearing	clairière			8	1	1	ENVIRONMENT	NATURE	Areas, region
1260	bush country, rural area	brousse, campagne			8	1	1	ENVIRONMENT	NATURE	Areas, region
1261	ground, land	sol, terre			8	1	2	ENVIRONMENT	NATURE	Physical features
1262	mountain	montagne			8	1	2	ENVIRONMENT	NATURE	Physical features
1263	summit, highest point	sommet, cime			8	1	2	ENVIRONMENT	NATURE	Physical features
1264	cliff	falaise			8	1	2	ENVIRONMENT	NATURE	Physical features
1265	valley	vallée	1.24	the valley	8	1	2	ENVIRONMENT	NATURE	Physical features
1266	ditch	fossé, rigole	8.17	the ditch	8	1	2	ENVIRONMENT	NATURE	Physical features
1267	pit	fosse			8	1	2	ENVIRONMENT	NATURE	Physical features
1268	hole	trou	12.85	the hole	8	1	2	ENVIRONMENT	NATURE	Physical features
1269	crevice	fissure, fente			8	1	2	ENVIRONMENT	NATURE	Physical features
1270	cave	grotte, caverne	1.28	the cave	8	1	2	ENVIRONMENT	NATURE	Physical features
1271	rock (large)	pierre			8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1272	stone (small)	caillou			8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1273	gravel	gravier			8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1274	sand	sable	1.215	the sand	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1275	dust	poussière	1.213	the dust	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1276	dirt, soil	terre (sol)			8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1277	clay	argile	9.73	the clay	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1278	mud	boue	1.214	the mud	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1279	iron	fer	9.67	the iron	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1280	gold	or	9.64	the gold	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1281	silver	argent	9.65	the silver	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1282	copper	cuivre	9.66	the copper	8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1283	rust (n)	rouille			8	1	3	ENVIRONMENT	NATURE	Natural things (minerals, etc.)
1284	water	eau	1.31	the water	8	1	4	ENVIRONMENT	NATURE	Water related
1285	ocean, sea	océan, mer			8	1	4	ENVIRONMENT	NATURE	Water related
1286	lake	lac	1.33	the lake	8	1	4	ENVIRONMENT	NATURE	Water related
1287	pool	étang			8	1	4	ENVIRONMENT	NATURE	Water related
1288	waterhole	mare			8	1	4	ENVIRONMENT	NATURE	Water related
1289	marsh	marais, marécage			8	1	4	ENVIRONMENT	NATURE	Water related
1290	spring	source			8	1	4	ENVIRONMENT	NATURE	Water related
1291	waterfall	chute, cataracte	1.39	the waterfall	8	1	4	ENVIRONMENT	NATURE	Water related
1292	brook, stream	ruisseau			8	1	4	ENVIRONMENT	NATURE	Water related
1293	river	rivière, fleuve			8	1	4	ENVIRONMENT	NATURE	Water related
1294	current (river, stream)	courant			8	1	4	ENVIRONMENT	NATURE	Water related
1295	riverbed (dry)	wadi, lit sec de rivière			8	1	4	ENVIRONMENT	NATURE	Water related
1296	river bank	bord (de rivière), rive			8	1	4	ENVIRONMENT	NATURE	Water related
1297	ford (n)	gué			8	1	4	ENVIRONMENT	NATURE	Water related
1298	bridge	pont	10.74	the bridge	8	1	4	ENVIRONMENT	NATURE	Water related
1299	island	île	1.25	the island	8	1	4	ENVIRONMENT	NATURE	Water related
1300	beach	plage		the beach	8	1	4	ENVIRONMENT	NATURE	Water related
1301	wave	vague	1.35	the wave	8	1	4	ENVIRONMENT	NATURE	Water related
1302	bubble	bulle			8	1	4	ENVIRONMENT	NATURE	Water related
1303	foam	écume	1.324	the foam	8	1	4	ENVIRONMENT	NATURE	Water related
1304	slime (organic)	vase (organique)			8	1	4	ENVIRONMENT	NATURE	Water related
1305	fire	feu	1.81	the fire	8	1	5	ENVIRONMENT	NATURE	Fire related
1306	flame	flamme	1.82	the flame	8	1	5	ENVIRONMENT	NATURE	Fire related
1307	spark	étincelle			8	1	5	ENVIRONMENT	NATURE	Fire related
1308	smoke	fumée	1.83	the smoke	8	1	5	ENVIRONMENT	NATURE	Fire related
1309	fireplace	foyer	7.31	the fireplace	8	1	5	ENVIRONMENT	NATURE	Fire related
1310	firewood	bois à brûler	1.88	the firewood	8	1	5	ENVIRONMENT	NATURE	Fire related
1311	charcoal	charbon de bois	1.89	the charcoal	8	1	5	ENVIRONMENT	NATURE	Fire related
1312	ashes	cendres			8	1	5	ENVIRONMENT	NATURE	Fire related
1313	sky	ciel	1.51	the sky	8	1	6	ENVIRONMENT	NATURE	Sky
1314	air (breathed)	air (respiré)			8	1	6	ENVIRONMENT	NATURE	Sky
1315	cloud	nuage	1.73	the cloud	8	1	6	ENVIRONMENT	NATURE	Sky
1316	rainbow	arc-en-ciel	1.59	the rainbow	8	1	6	ENVIRONMENT	NATURE	Sky
1317	sun	soleil	1.52	the sun	8	1	6	ENVIRONMENT	NATURE	Sky
1318	moon	lune	1.53	the moon	8	1	6	ENVIRONMENT	NATURE	Sky
1319	full moon	pleine lune			8	1	6	ENVIRONMENT	NATURE	Sky
1320	new moon	nouvelle lune			8	1	6	ENVIRONMENT	NATURE	Sky
1321	eclipse (moon)	éclipse (lunaire)			8	1	6	ENVIRONMENT	NATURE	Sky
1322	star	étoile	1.54	the star	8	1	6	ENVIRONMENT	NATURE	Sky
1323	Pleiades	Pléiade			8	1	6	ENVIRONMENT	NATURE	Sky
1324	Big Dipper, Plough, Great Bear	la Grande Ourse, Girafe			8	1	6	ENVIRONMENT	NATURE	Sky
1325	Orion	Orion			8	1	6	ENVIRONMENT	NATURE	Sky
1326	shooting star, meteor	étoile filante, météore			8	1	6	ENVIRONMENT	NATURE	Sky
1327	noise, sound (n)	bruit, son			8	1	7	ENVIRONMENT	NATURE	Other
1328	rustle (leaves) (v)	bruire			8	1	7	ENVIRONMENT	NATURE	Other
1329	squeak (wheel) (v)	grincer, crier			8	1	7	ENVIRONMENT	NATURE	Other
1330	wind (n)	vent			8	2		ENVIRONMENT	WEATHER TEMPS	
1331	harmattan	harmattan			8	2		ENVIRONMENT	WEATHER TEMPS	
1332	storm	orage, "tornade"	1.58	the storm	8	2		ENVIRONMENT	WEATHER TEMPS	
1333	thunder	tonnerre	1.56	the thunder	8	2		ENVIRONMENT	WEATHER TEMPS	
1334	lightning	éclair	1.55	the lightning	8	2		ENVIRONMENT	WEATHER TEMPS	
1335	rain	pluie	1.75	the rain	8	2		ENVIRONMENT	WEATHER TEMPS	
1336	drizzle	pluie fine, bruine			8	2		ENVIRONMENT	WEATHER TEMPS	
1337	hail	grêle			8	2		ENVIRONMENT	WEATHER TEMPS	
1338	dew	rosée	1.64	the dew	8	2		ENVIRONMENT	WEATHER TEMPS	
1339	flood (n)	inondation			8	2		ENVIRONMENT	WEATHER TEMPS	
1340	dry up, evaporate	tarir, évaporer			8	2		ENVIRONMENT	WEATHER TEMPS	
1341	drought, famine	sécheresse, famine, disette			8	2		ENVIRONMENT	WEATHER TEMPS	
1342	season	saison	14.78	the season	8	2	1	ENVIRONMENT	WEATHER TEMPS	Seasons
1343	rainy season	saison des pluies, hivernage			8	2	1	ENVIRONMENT	WEATHER TEMPS	Seasons
1344	dry season	saison sèche			8	2	1	ENVIRONMENT	WEATHER TEMPS	Seasons
1345	hot weather	temps chaud			8	2	1	ENVIRONMENT	WEATHER TEMPS	Seasons
1346	cold weather	temps froid			8	2	1	ENVIRONMENT	WEATHER TEMPS	Seasons
1347	light	lumière	1.61	the light	8	2	2	ENVIRONMENT	WEATHER TEMPS	Ambient conditions
1348	sunshine	lumière du soleil			8	2	2	ENVIRONMENT	WEATHER TEMPS	Ambient conditions
1349	moonlight	claire de lune			8	2	2	ENVIRONMENT	WEATHER TEMPS	Ambient conditions
1350	shadow	ombre			8	2	2	ENVIRONMENT	WEATHER TEMPS	Ambient conditions
1351	darkness	obscurité	1.62	the darkness	8	2	2	ENVIRONMENT	WEATHER TEMPS	Ambient conditions
1352	time	temps	14.11	the time	8	3		ENVIRONMENT	TIME	
1353	now	maintenant	14.18	now	8	3		ENVIRONMENT	TIME	
1354	before	avant		before	8	3		ENVIRONMENT	TIME	
1355	after	après		after	8	3		ENVIRONMENT	TIME	
1356	early	tôt, de bonne heure	14.16	early	8	3		ENVIRONMENT	TIME	
1357	late	tard	14.17	late	8	3		ENVIRONMENT	TIME	
1358	once	une fois		once	8	3		ENVIRONMENT	TIME	
1359	again	encore, de nouveau	14.35	again	8	3		ENVIRONMENT	TIME	
1360	sometimes	quelquefois, parfois	14.33	sometimes	8	3		ENVIRONMENT	TIME	
1361	often	souvent	14.32	often	8	3		ENVIRONMENT	TIME	
1362	usually	habituellement, d'habitude			8	3		ENVIRONMENT	TIME	
1363	always	toujours	14.31	always	8	3		ENVIRONMENT	TIME	
1364	never	jamais	14.34	never	8	3		ENVIRONMENT	TIME	
1365	spend time, pass time	passer le temps			8	3		ENVIRONMENT	TIME	
1366	wait	attendre		to wait	8	3		ENVIRONMENT	TIME	
1367	day	jour, journée			8	3	1	ENVIRONMENT	TIME	Time periods
1368	month	mois	14.71	the month	8	3	1	ENVIRONMENT	TIME	Time periods
1369	year	an, année	14.73	the year	8	3	1	ENVIRONMENT	TIME	Time periods
